dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|klpid|check
bangalore rural|doddaballapura|anjanamurthynagara|bangalore rural|doddaballapura|anjanamurthynagara|9750|1
bangalore rural|doddaballapura|aralumallige|bangalore rural|doddaballapura|aralumallige|9751|1
bangalore rural|doddaballapura|aralumallige bagilu|bangalore rural|doddaballapura|aralumallige bagilu|9752|1
bangalore rural|doddaballapura|aroodi|bangalore rural|doddaballapura|aroodi|2357|1
bangalore rural|doddaballapura|bashettihalli|bangalore rural|doddaballapura|bashettihalli|2356|1
bangalore rural|doddaballapura|channaveeranahalli|bangalore rural|doddaballapura|channaveeranahalli|9753|1
bangalore rural|doddaballapura|dargajogihalli|bangalore rural|doddaballapura|dargajogihalli|2361|1
bangalore rural|doddaballapura|dodda ballapura town|bangalore rural|doddaballapura|dodda ballapura town|2371|1
bangalore rural|doddaballapura|dodda belavangala|bangalore rural|doddaballapura|dodda belavangala|2359|1
bangalore rural|doddaballapura|hadonahalli|bangalore rural|doddaballapura|hadonahalli|2362|1
bangalore rural|doddaballapura|hanabe|bangalore rural|doddaballapura|hanabe|2370|1
bangalore rural|doddaballapura|heggadihalli|bangalore rural|doddaballapura|heggadihalli|9754|1
bangalore rural|doddaballapura|honnawara|bangalore rural|doddaballapura|honnawara|9755|1
bangalore rural|doddaballapura|hosahalli|bangalore rural|doddaballapura|hosahalli|9756|1
bangalore rural|doddaballapura|hulikunte|bangalore rural|doddaballapura|hulikunte|2364|1
bangalore rural|doddaballapura|kacheripalya|bangalore rural|doddaballapura|kacheripalya|9757|1
bangalore rural|doddaballapura|kadathippuru|bangalore rural|doddaballapura|kadathippuru|2366|1
bangalore rural|doddaballapura|kanasavadi|bangalore rural|doddaballapura|kanasavadi|2363|1
bangalore rural|doddaballapura|kesthuru|bangalore rural|doddaballapura|kesthuru|9758|1
bangalore rural|doddaballapura|madhure kodihalli|bangalore rural|doddaballapura|madhure kodihalli|2358|1
bangalore rural|doddaballapura|melekote|bangalore rural|doddaballapura|melekote|2368|1
bangalore rural|doddaballapura|muthasandra|bangalore rural|doddaballapura|muthasandra|9759|1
bangalore rural|doddaballapura|rajaghatta|bangalore rural|doddaballapura|rajaghatta|2367|1
bangalore rural|doddaballapura|sakkare gollahalli|bangalore rural|doddaballapura|sakkare gollahalli|2365|1
bangalore rural|doddaballapura|sasalu|bangalore rural|doddaballapura|sasalu|9760|1
bangalore rural|doddaballapura|s s ghati|bangalore rural|doddaballapura|s s ghati|9761|1
bangalore rural|doddaballapura|thippuru|bangalore rural|doddaballapura|thippuru|2369|1
bangalore rural|doddaballapura|tubugere|bangalore rural|doddaballapura|tubugere|2360|1
bangalore rural|hosakote|alappanahalli|bangalore rural|hosakote|alappanahalli|2388|1
bangalore rural|hosakote|beguru|bangalore rural|hosakote|beguru|2390|1
bangalore rural|hosakote|bendiganahalli|bangalore rural|hosakote|bendiganahalli|2383|1
bangalore rural|hosakote|bylanarasapura|bangalore rural|hosakote|bylanarasapura|9074|1
bangalore rural|hosakote|devanagundi|bangalore rural|hosakote|devanagundi|2395|1
bangalore rural|hosakote|doddagattiganabbe|bangalore rural|hosakote|doddagattiganabbe|9075|1
bangalore rural|hosakote|doddahulluru|bangalore rural|hosakote|doddahulluru|9077|1
bangalore rural|hosakote|doddanallala|bangalore rural|hosakote|doddanallala|9079|1
bangalore rural|hosakote|hosakote town|bangalore rural|hosakote|hosakote town|2396|1
bangalore rural|hosakote|jadigenahalli|bangalore rural|hosakote|jadigenahalli|2393|1
bangalore rural|hosakote|kalkunte|bangalore rural|hosakote|kalkunte|2387|1
bangalore rural|hosakote|mugabala|bangalore rural|hosakote|mugabala|9078|1
bangalore rural|hosakote|nandagudi|bangalore rural|hosakote|nandagudi|2385|1
bangalore rural|hosakote|nelavagilu|bangalore rural|hosakote|nelavagilu|2391|1
bangalore rural|hosakote|samethanahalli|bangalore rural|hosakote|samethanahalli|2394|1
bangalore rural|hosakote|shivanapura|bangalore rural|hosakote|shivanapura|2384|1
bangalore rural|hosakote|sulibele|bangalore rural|hosakote|sulibele|2389|1
bangalore rural|hosakote|t agrahara|bangalore rural|hosakote|t agrahara|9080|1
bangalore rural|hosakote|thavarekere|bangalore rural|hosakote|thavarekere|2392|1
bangalore rural|hosakote|urdu -1|bangalore rural|hosakote|urdu -1|9762|1
bangalore rural|hosakote|urdu - 2|bangalore rural|hosakote|urdu - 2|9763|1
bangalore rural|hosakote|vagata|bangalore rural|hosakote|vagata|2386|1
bangalore rural|nelamangala|agalakuppe|bangalore rural|nelamangala|agalakuppe|9764|1
bangalore rural|nelamangala|arasinakunte|bangalore rural|nelamangala|arasinakunte|9765|1
bangalore rural|nelamangala|arebommanahalli|bangalore rural|nelamangala|arebommanahalli|9766|1
bangalore rural|nelamangala|basavanahalli|bangalore rural|nelamangala|basavanahalli|2355|1
bangalore rural|nelamangala|bommanahalli|bangalore rural|nelamangala|bommanahalli|9767|1
bangalore rural|nelamangala|dodda bele|bangalore rural|nelamangala|dodda bele|2353|1
bangalore rural|nelamangala|hanumanthegowdanapalya|bangalore rural|nelamangala|hanumanthegowdanapalya|9768|1
bangalore rural|nelamangala|hasuruvalli|bangalore rural|nelamangala|hasuruvalli|9769|1
bangalore rural|nelamangala|honnenahalli|bangalore rural|nelamangala|honnenahalli|9770|1
bangalore rural|nelamangala|kempalinganahalli|bangalore rural|nelamangala|kempalinganahalli|9771|1
bangalore rural|nelamangala|kuluvanahalli|bangalore rural|nelamangala|kuluvanahalli|2346|1
bangalore rural|nelamangala|manne|bangalore rural|nelamangala|manne|2351|1
bangalore rural|nelamangala|maralakunte|bangalore rural|nelamangala|maralakunte|9772|1
bangalore rural|nelamangala|narasipura|bangalore rural|nelamangala|narasipura|2349|1
bangalore rural|nelamangala|nelamangala town|bangalore rural|nelamangala|nelamangala town|9773|1
bangalore rural|nelamangala|shivagange|bangalore rural|nelamangala|shivagange|2348|1
bangalore rural|nelamangala|soladevanahalli|bangalore rural|nelamangala|soladevanahalli|9774|1
bangalore rural|nelamangala|sompura|bangalore rural|nelamangala|sompura|2352|1
bangalore rural|nelamangala|t. beguru|bangalore rural|nelamangala|t. beguru|2347|1
bangalore rural|nelamangala|thyamagondlu|bangalore rural|nelamangala|thyamagondlu|2354|1
bangalore rural|nelamangala|urdu nelamangala|bangalore rural|nelamangala|urdu nelamangala|9775|1
bangalore rural|nelamangala|yantaganahalli|bangalore rural|nelamangala|yantaganahalli|2350|1
bangalore u north|north1|byadara halli|bangalore u north|north1|byadara halli|8894|1
bangalore u north|north1|chikkabidara kallu|bangalore u north|north1|chikkabidara kallu|8904|1
bangalore u north|north1|gruhalakshmi layout|bangalore u north|north1|gruhalakshmi layout|9776|1
bangalore u north|north1|heggana halli|bangalore u north|north1|heggana halli|8913|1
bangalore u north|north1|juganahalli|bangalore u north|north1|juganahalli|9166|1
bangalore u north|north1|kamakshi palya|bangalore u north|north1|kamakshi palya|8922|1
bangalore u north|north1|kurubara halli|bangalore u north|north1|kurubara halli|8938|1
bangalore u north|north1|laggere|bangalore u north|north1|laggere|8945|1
bangalore u north|north1|macho halli|bangalore u north|north1|macho halli|8952|1
bangalore u north|north1|madanayakanahalli|bangalore u north|north1|madanayakanahalli|9005|1
bangalore u north|north1|mallasandra|bangalore u north|north1|mallasandra|9004|1
bangalore u north|north1|peenya|bangalore u north|north1|peenya|9006|1
bangalore u north|north1|shiva nagar|bangalore u north|north1|shiva nagar|8957|1
bangalore u north|north1|sondekoppa|bangalore u north|north1|sondekoppa|9007|1
bangalore u north|north1|sree gandha kaval|bangalore u north|north1|sree gandha kaval|9777|1
bangalore u north|north1|ullau new town|bangalore u north|north1|ullau new town|9003|1
bangalore u north|north2|hebbala|bangalore u north|north2|hebbala|8895|1
bangalore u north|north2|jallahalli|bangalore u north|north2|jallahalli|8905|1
bangalore u north|north2|kadu malleshwara|bangalore u north|north2|kadu malleshwara|9650|1
bangalore u north|north2|malleshwaram|bangalore u north|north2|malleshwaram|8994|1
bangalore u north|north2|palace guttahalli|bangalore u north|north2|palace guttahalli|8993|1
bangalore u north|north2|prakashnagar|bangalore u north|north2|prakashnagar|8996|1
bangalore u north|north2|sanjay nagara|bangalore u north|north2|sanjay nagara|9621|1
bangalore u north|north2|sheshadripuram|bangalore u north|north2|sheshadripuram|8995|1
