dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|check
bangalore u north|north2|sheshadripuram|bangalore u north|north2|sheshadripuram|8995|1.0
bangalore u north|north2|yeshwanthpur|bangalore u north|north2|yeshwanthpur|8931|1.0
bangalore u north|north3|banaswadi|bangalore u north|north3|banaswadi|8934|1.0
bangalore u north|north3|d.j.halli|bangalore u north|north3|d.j.halli|8898|1.0
bangalore u north|north3|frazer town|bangalore u north|north3|frazer town|8908|1.0
bangalore u north|north3|j.c nagar|bangalore u north|north3|j.c nagar|8917|1.0
bangalore u north|north3|k.b.sandra|bangalore u north|north3|k.b.sandra|8992|1.0
bangalore u north|north3|murphy town|bangalore u north|north3|murphy town|9651|1.0
bangalore u north|north3|oph road|bangalore u north|north3|oph road|8941|1.0
bangalore u north|north3|vasanthnagar|bangalore u north|north3|vasanthnagar|8991|1.0
bangalore u north|north4|bagalur|bangalore u north|north4|bagalur|8896|1.0
bangalore u north|north4|chikkajalla|bangalore u north|north4|chikkajalla|9002|1.0
bangalore u north|north4|hesargatta|bangalore u north|north4|hesargatta|8924|1.0
bangalore u north|north4|hunsemaranahalli|bangalore u north|north4|hunsemaranahalli|8932|1.0
bangalore u north|north4|kakolu|bangalore u north|north4|kakolu|8939|1.0
bangalore u north|north4|kodigehalli|bangalore u north|north4|kodigehalli|8998|1.0
bangalore u north|north4|kudragera|bangalore u north|north4|kudragera|8946|1.0
bangalore u north|north4|maralu kunte|bangalore u north|north4|maralu kunte|8997|1.0
bangalore u north|north4|nagavara|bangalore u north|north4|nagavara|9132|1.0
bangalore u north|north4|narasipura|bangalore u north|north4|narasipura|9661|1.0
bangalore u north|north4|rajankunte|bangalore u north|north4|rajankunte|8953|1.0
bangalore u north|north4|singanayanahalli|bangalore u north|north4|singanayanahalli|9662|1.0
bangalore u north|north4|t.dasarahalli|bangalore u north|north4|t.dasarahalli|8958|1.0
bangalore u south|anekal|anekal town|bangalore u south|anekal|anekal town|8899|1.0
bangalore u south|anekal|atthibele|bangalore u south|anekal|atthibele|8909|1.0
bangalore u south|anekal|bannerugatta|bangalore u south|anekal|bannerugatta|8918|1.0
bangalore u south|anekal|byagadadena halli|bangalore u south|anekal|byagadadena halli|8926|1.0
bangalore u south|anekal|chikka hosa halli|bangalore u south|anekal|chikka hosa halli|8935|1.0
bangalore u south|anekal|dommasandra|bangalore u south|anekal|dommasandra|8964|1.0
bangalore u south|anekal|haragadde|bangalore u south|anekal|haragadde|8955|1.0
bangalore u south|anekal|harappana halli|bangalore u south|anekal|harappana halli|8942|1.0
bangalore u south|anekal|hebbagodi|bangalore u south|anekal|hebbagodi|8949|1.0
bangalore u south|anekal|hennagra|bangalore u south|anekal|hennagra|9016|1.0
bangalore u south|anekal|jigani|bangalore u south|anekal|jigani|9175|1.0
bangalore u south|anekal|mantapa|bangalore u south|anekal|mantapa|9174|1.0
bangalore u south|anekal|mayasandra|bangalore u south|anekal|mayasandra|9172|1.0
bangalore u south|anekal|mugalur|bangalore u south|anekal|mugalur|9012|1.0
bangalore u south|anekal|neralur|bangalore u south|anekal|neralur|9014|1.0
bangalore u south|anekal|neriga|bangalore u south|anekal|neriga|9649|1.0
bangalore u south|anekal|sab mangala|bangalore u south|anekal|sab mangala|9015|1.0
bangalore u south|anekal|sarjapura|bangalore u south|anekal|sarjapura|8967|1.0
bangalore u south|anekal|urdu anekal|bangalore u south|anekal|urdu anekal|9013|1.0
bangalore u south|anekal|vanakanahalli|bangalore u south|anekal|vanakanahalli|9663|1.0
bangalore u south|south1|basavanagudi|bangalore u south|south1|basavanagudi|8919|1.0
bangalore u south|south1|cholanayakanahalli|bangalore u south|south1|cholanayakanahalli|9157|1.0
bangalore u south|south1|doddagollarahatti|bangalore u south|south1|doddagollarahatti|8981|1.0
bangalore u south|south1|ganapathyhalli|bangalore u south|south1|ganapathyhalli|8901|1.0
bangalore u south|south1|hosakerehalli|bangalore u south|south1|hosakerehalli|8951|1.0
bangalore u south|south1|huluvenahalli|bangalore u south|south1|huluvenahalli|8982|1.0
bangalore u south|south1|kagglipura|bangalore u south|south1|kagglipura|8950|1.0
bangalore u south|south1|karisandra|bangalore u south|south1|karisandra|8969|1.0
bangalore u south|south1|kengeri|bangalore u south|south1|kengeri|8927|1.0
